id,buyer_name,review_rating,review_title,author_linkurl,review_text
11,James A. Lehman,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AGHP6P3WDPDNRIWTO7QOYZHA2S7A/ref=cm_cr_arp_d_pdp?ie=UTF8,Comfortable and fits smaller heads.
12,JMM,3,Customer Service: Fantastic. Product: Meh,https://www.amazon.com/gp/profile/amzn1.account.AHK4YUGWWTCPNECM2QRWBLRRACMA/ref=cm_cr_arp_d_pdp?ie=UTF8,"*UPDATE: Added 2 more stars for excellent customer service. Seller read my poor review of the product, contacted me and sent a replacement at no charge. Completely unprompted. That's *excellent* customer service.
_______
Performs the basic function of allowing me to play music from my phone over my car's stero via bluetooth... but it creates a crackling, kind of static sound if not perfectly seated in the jack. I have to wiggle it around in the aux jack to make sure it's playing both left and right stereo. Unfortunately my new phone does not have an aux jack, and I live in an area with spotty radio station coverage. This is the only way to play my music & Spotify, etc over my car stereo. *I have not compared this bluetooth receiver to other brands to see if the problem lies in the product or my aux jack.* Will update my review if I find the same problem with similar products from another brand."
13,JMM,3,Customer Service: Fantastic. Product: Meh,https://www.amazon.com/gp/profile/amzn1.account.AHK4YUGWWTCPNECM2QRWBLRRACMA/ref=cm_cr_arp_d_pdp?ie=UTF8,"*UPDATE: Added 2 more stars for excellent customer service. Seller read my poor review of the product, contacted me and sent a replacement at no charge. Completely unprompted. That's *excellent* customer service.
_______
Performs the basic function of allowing me to play music from my phone over my car's stero via bluetooth... but it creates a crackling, kind of static sound if not perfectly seated in the jack. I have to wiggle it around in the aux jack to make sure it's playing both left and right stereo. Unfortunately my new phone does not have an aux jack, and I live in an area with spotty radio station coverage. This is the only way to play my music & Spotify, etc over my car stereo. *I have not compared this bluetooth receiver to other brands to see if the problem lies in the product or my aux jack.* Will update my review if I find the same problem with similar products from another brand."
14,Kelly Cataldo,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AESOMUN7SZC2LQ4I3NX7CD7JTZTA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Super easy to install, very solid hold, love the product!"
15,blacksmithgirl,5,Sturdy enough for a trip to Mordor,https://www.amazon.com/gp/profile/amzn1.account.AERX7TSGZGKN3GO7U4RTH7L6J4AA/ref=cm_cr_arp_d_pdp?ie=UTF8,They take some getting used to if you havent used a blue tooth headset. But these are really wonderful. Clear and with a good range. I bought two so I could give one as a gift but decided to keep them both for MEEE (my precious!) and will buy another for someone else. That way Ill have one for inside and one for any trips I may take
16,Chris,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AGRX35VHTL3L67JJGWYUG4VVSQQQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Very smooth
17,kenny,3,Three Stars,https://www.amazon.com/gp/profile/amzn1.account.AGC5M5Q2EZBDTFRYOF7J6YD3QSRQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"It¡¯s compact and grip is nice, but the mouse is not smooth when I drag it"
18,kenny,3,Three Stars,https://www.amazon.com/gp/profile/amzn1.account.AGC5M5Q2EZBDTFRYOF7J6YD3QSRQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"It¡¯s compact and grip is nice, but the mouse is not smooth when I drag it"
19,mstaphd,4,Volume Control Makes A Difference...ask Nigel Tufnel,https://www.amazon.com/gp/profile/amzn1.account.AG3ITPH5HRI7TK7P6LQWM7P2RYFQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"I purchased this version after my Y-Bot, (an older top heavy version of Mpow Bluetooth FM Transmitter) finally fell and broke for the last time.
Newer versions of this Bluetooth FM Transmitter come without the volume control which is WHY I went with THIS version.
The volume control feature makes a difference in my opinion.
I use this to randomly stream music from both my Amazon Music and Googly Play collections from my phone to my car stereo. The sound quality often varies from track to track, so turning the volume up on the Mpow in conjunction with the volume of the stereo gives an added boost.
The speaker phone option works well, but it's one that I seldom use. I just don't see the need in broadcasting sensitive lab results and other personal drama out into traffic. The overall sound quality of the transmitter is quite good, in fact great even...
...however... since I owned an older version of this transmitter, it's only natural to compare the two.
The volume on this version of transmitter only goes up to 16, whereas the older version went up to 32, which is a seriously noticeable difference, really.
That's the reason why I'm giving this 4 instead of 5 stars. (On  the Tufnel scale the older version went to ""11"")"
20,Vince_A,5,Very good purchase,https://www.amazon.com/gp/profile/amzn1.account.AEHBGBNABZWQRYXG7PMEZI5OFUUA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Given the price that I paid for this gaming mouse, this was an outstanding deal. Aside from the price the mouse handles very well. Adjusting the DPI is a matter of a click up or down depending on my preference. The mouse is also programmable and a small CD in included in the packaging. Also there is a bit of RGB flavoring the mouse but to date I left the those settings at factory defaults."
21,HN2,5,Great for iPhone 8 and iPhone X,https://www.amazon.com/gp/profile/amzn1.account.AH7FOCUB5CJCWAVZKCPQNZK4WYBQ/ref=cm_cr_arp_d_pdp?ie=UTF8,I now have purchased two of these. One for an iPhone * and one for an iPhone X.  They work great with both phones.
22,HN2,5,Great for iPhone 8 and iPhone X,https://www.amazon.com/gp/profile/amzn1.account.AH7FOCUB5CJCWAVZKCPQNZK4WYBQ/ref=cm_cr_arp_d_pdp?ie=UTF8,I now have purchased two of these. One for an iPhone * and one for an iPhone X.  They work great with both phones.
24,xinsaiyanx,5,No more lightning adapter.,https://www.amazon.com/gp/profile/amzn1.account.AF7DHYVSOWWXYKVPIJWS4YJLPYTA/ref=cm_cr_arp_d_pdp?ie=UTF8,It was love at first site. No more do I have to use an lightning port adapter.  I can charge my phone and listen to music at the same time again.
25,Walter Darbyshire,5,no hassle and great,https://www.amazon.com/gp/profile/amzn1.account.AFGI42ZUBGBKCBS3ZHFLW2M4NCSQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Plug and play...no hassle and great price
26,Walter Darbyshire,5,no hassle and great,https://www.amazon.com/gp/profile/amzn1.account.AFGI42ZUBGBKCBS3ZHFLW2M4NCSQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Plug and play...no hassle and great price
27,Signe,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AE65QZPWWSLQNPJPOETOI6CMY7BA/ref=cm_cr_arp_d_pdp?ie=UTF8,I love it
28,Jane,5,good,https://www.amazon.com/gp/profile/amzn1.account.AEFRSUP2WJTP4UALTG34AZZ3JVKA/ref=cm_cr_arp_d_pdp?ie=UTF8,good
29,Rekita McCoy,3,Good as far as hearing,https://www.amazon.com/gp/profile/amzn1.account.AGEH5OP4RHG74JNCYCTAKOGSLLQQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Good as far as hearing . but the piece that go over your head isn't stable enough. My side piece broke within 2 weeks.
30,lemarin,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AFJ7J5IMSPV6ZKTJF3FGYDTDON6A/ref=cm_cr_arp_d_pdp?ie=UTF8,Works great.
31,lemarin,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AFJ7J5IMSPV6ZKTJF3FGYDTDON6A/ref=cm_cr_arp_d_pdp?ie=UTF8,Works great.
32,BRW,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AERVVN4EIVKPQZQYK22BAHCOCFPQ/ref=cm_cr_arp_d_pdp?ie=UTF8,so far so good
33,Michael S.,2,Crap,https://www.amazon.com/gp/profile/amzn1.account.AETZIL4N66FECFNWELIV5IJMTJDA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Keeps blowing fusses, very low audio."
34,Amazon Customer,4,What I like the most with this product is the quality of ...,https://www.amazon.com/gp/profile/amzn1.account.AEYJ5E6X6DWHCLBA2RI4AAJSQ2YQ/ref=cm_cr_arp_d_pdp?ie=UTF8,What I like the most with this product is the quality of the sound transmit by the Bluetooth to my car and the customer service.  I am satisfy for buying this product.
35,Amazon Customer,4,What I like the most with this product is the quality of ...,https://www.amazon.com/gp/profile/amzn1.account.AEYJ5E6X6DWHCLBA2RI4AAJSQ2YQ/ref=cm_cr_arp_d_pdp?ie=UTF8,What I like the most with this product is the quality of the sound transmit by the Bluetooth to my car and the customer service.  I am satisfy for buying this product.
36,Amazon Customer,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AECIS6AW2TWGREI5KATZ6DFLV6CQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Excellent
37,Amazon Customer,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AECIS6AW2TWGREI5KATZ6DFLV6CQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Excellent
38,Nikkie Nicks,5,I love that it comes with two,https://www.amazon.com/gp/profile/amzn1.account.AFCKIO2WRALM3JJ4MUUGFZZ6MJMQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"I love that it comes with two, because I will inevitably lose at leas one. They work just as they should, no surprises. :)"
39,Justine Kosiorek,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AGTGABOAEIJTEVADNVOMHQ5BDKQQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Fits perfect
40,Avid Reader,5,Good idea,https://www.amazon.com/gp/profile/amzn1.account.AH2F7XCTA5YQHJD7EQBXNDNT6CWA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Bought as a gift so I have not used it.  I like the idea, the quality as seen before use."
41,Lisa Larsen,5,It's a great pump for the money,https://www.amazon.com/gp/profile/amzn1.account.AFMN7NWTYZT447SNZHFLCC5GDU4A/ref=cm_cr_arp_d_pdp?ie=UTF8,This pump is strong and sturdy--well constructed and heavy--not made of cheap materials. It pushes water really well and runs steadily and dependably. It's a great pump for the money.
42,Leyla,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AED3XTDHDDALVZTNIN5M75WMLR6Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"Great for the small space. Elegant looking , nice color.Fits my little office very nicely"
43,Charles Jedicke,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AGGR5KHWPTKCGGM53X43IFEFFDKA/ref=cm_cr_arp_d_pdp?ie=UTF8,Works great. Blocks noise well.  Comfortable to wear.
44,Joseph,4,Four Stars,https://www.amazon.com/gp/profile/amzn1.account.AGBU7CMHSITQRET47LYIGAQOHAOA/ref=cm_cr_arp_d_pdp?ie=UTF8,Good product.
45,Lynda D.,5,"Excellent product, easy to use",https://www.amazon.com/gp/profile/amzn1.account.AEFYFGFUDI25HCEEMISSSVASO7GQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"Excellent phone holder, adjustable to any position for out of the way viewing or in your face!  I love it, we have one in both cars."
46,Kevin Curtis,5,Well Designed and Great Performance at a Great Price,https://www.amazon.com/gp/profile/amzn1.account.AEZATMA5OTRXAAVH5U7T3RHW7I5A/ref=cm_cr_arp_d_pdp?ie=UTF8,I bought two of these.  Great units.  Well designed.  Low profile is easy on wrist with long usage.  Auto off feature is super. Just plug and use.  No need to do anything.  I use one on a chromebook and it fired up in five seconds.  Nice that the USB receiver stores inside the mouse of easy portability.
47,Theresa,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AEID636W6LY3AIUVFWZJ6UIOC44Q/ref=cm_cr_arp_d_pdp?ie=UTF8,Very easy to get started works great. Happy with my purchase.
48,dawn,5,Great Experience,https://www.amazon.com/gp/profile/amzn1.account.AGAZECYY4YN66ECZY3YJML3O7Z2Q/ref=cm_cr_arp_d_pdp?ie=UTF8,Prompt delivery and the product is great
49,Ali,5,I'm very happy with this product,https://www.amazon.com/gp/profile/amzn1.account.AEI2LF33STRFZZVP5Q2TGUYIFUEA/ref=cm_cr_arp_d_pdp?ie=UTF8,"?I'm very happy with this product. I've wanted a diffuser for quite some time, and before I order anything, I read a lot of peoples reviews to help me decide what to get! I read a lot of good things about this 1 and I agree with all the positivity out there! First of all, it's completely adorable and looks really cute on my bedside table... - it's practically a little decoration in itself! It's very easy to understand / use and for it's relatively small size, I would say the scent travels through out my whole apartment which is awesome! The light settings are cool and easy to turn off & on. The packaging was nice and protective. I'm happy with the whole transaction of this thing! Definitely recommend"
50,Christina Lopez,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AGH3LXRQVUFBGZPYLTUWJOKMRHYA/ref=cm_cr_arp_d_pdp?ie=UTF8,Great little timer for kitchen and around the house.
51,swimmom,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AHY2RT23RITLJ4TTH7KOWYB4WLKQ/ref=cm_cr_arp_d_pdp?ie=UTF8,One of the best ones on the market
52,swimmom,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AHY2RT23RITLJ4TTH7KOWYB4WLKQ/ref=cm_cr_arp_d_pdp?ie=UTF8,One of the best ones on the market
53,Amazon Customer,5,My wife bought a similar product and this one is much better plus it cost me $6,https://www.amazon.com/gp/profile/amzn1.account.AHISLZYYOC2RR5LFBAVH57Y3FM5A/ref=cm_cr_arp_d_pdp?ie=UTF8,this device works as advertised. My wife bought a similar product and this one is much better plus it cost me $6 less
54,Amazon Customer,5,My wife bought a similar product and this one is much better plus it cost me $6,https://www.amazon.com/gp/profile/amzn1.account.AHISLZYYOC2RR5LFBAVH57Y3FM5A/ref=cm_cr_arp_d_pdp?ie=UTF8,this device works as advertised. My wife bought a similar product and this one is much better plus it cost me $6 less
55,Chris,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AEBRVDROHUPFCZUJGMYALZJMRRRA/ref=cm_cr_arp_d_pdp?ie=UTF8,Quick delivery and very affordable
56,Harold Sasnowitz,4,Good item,https://www.amazon.com/gp/profile/amzn1.account.AEFENZBVKGB5HIU4PBXBZWLWIJZQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Works as advertised
57,Opal McManus,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AH4ZNCRTIZUET3ISGR6D5MLTFMBQ/ref=cm_cr_arp_d_pdp?ie=UTF8,I am enjoying my diffuser. I am going to order a couple for Christmas gifts.
58,C.Niane,5,Durable hair clips,https://www.amazon.com/gp/profile/amzn1.account.AG3UUJ4ALEACKJ7GUM2BS5572DAQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Product as described and (so far) are very durable.
59,LKN,4,LOVE this!,https://www.amazon.com/gp/profile/amzn1.account.AHWZLWOS5FPD5LG5AETIQ5LB5J4Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"LOVE this!! I just received it yesterday and put it to use right away.  I use it with oils for nasal health as I go to bed. It easily fills our master bedroom (12x14).  I used the 3hour setting and it was super quiet.  I fell asleep as usual. My only complaint is that when 3 hours expired, a ""beep"" sound woke me up.  I'm hoping I can figure out how to turn that off.  Thinking of also getting one for my workplace."
60,Big Mike,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AFMEQODC5GY2DZHZFLSOELHGUO2Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"Very nice, professional tweezers.  Perfect for ingrown hairs"
61,TMK,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AFUNXV4ECMZQ7NE7C2HHXUZXTGIQ/ref=cm_cr_arp_d_pdp?ie=UTF8,I love this device!
62,John greene,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AHPVYS4XRRFRNABHVQKXC27MBDMA/ref=cm_cr_arp_d_pdp?ie=UTF8,Nice item. Works really well.
63,John greene,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AHPVYS4XRRFRNABHVQKXC27MBDMA/ref=cm_cr_arp_d_pdp?ie=UTF8,Nice item. Works really well.
64,Twirls,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AFF5EBOX6ZOL3ZIZYOHWGCDAU55A/ref=cm_cr_arp_d_pdp?ie=UTF8,These are fabulous solar lights. Have purchased 2 sets.
65,T. FRENCH,5,Great Timer,https://www.amazon.com/gp/profile/amzn1.account.AGP7T6FOKFSJMUU5M465FBQ24TPQ/ref=cm_cr_arp_d_pdp?ie=UTF8,This is a wonderful time!  I see it and can go in the den to watch a show on TV and I can hear the timer from the kitchen.  This is a clever little machine.  I may have to get some for gifts!
66,CARMEN,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AE7ID5MJKOZTVILCUPEUYHHHBYBA/ref=cm_cr_arp_d_pdp?ie=UTF8,easy to use. love it.
67,MARCIO TEIXEIRA,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AEXLFRWYKO54GGFKPXMG6VQN5UHQ/ref=cm_cr_arp_d_pdp?ie=UTF8,This is really a nice device. very satisfied.
68,Claudia,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AH742JKISGQXJUMQJWJ5XESC4GDQ/ref=cm_cr_arp_d_pdp?ie=UTF8,loved it!
69,Jessica,5,I bought these for my son and they are perfect! No more cord top get tangled up with ...,https://www.amazon.com/gp/profile/amzn1.account.AFGCQSF4EMX2I7DNZR33BVSTW6JQ/ref=cm_cr_arp_d_pdp?ie=UTF8,I bought these for my son and they are perfect! No more cord top get tangled up with or lost. The charge lasts for several days and the sound is clear. Definitely recommend!
70,Trisha Scanlon,5,Good quality,https://www.amazon.com/gp/profile/amzn1.account.AH6BMLOSQAZN2IUV74HXHJJ4UZXQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"Very high quality for a great price. My dentist recommended that I buy a water pic. It makes my mouth feel cleaner, and I hope my dentist will be pleased with my progress."
71,BIG AL 634,5,i was not too sure about product as soon as ...,https://www.amazon.com/gp/profile/amzn1.account.AHDKFIFVQCTMCQZLXORXXRIUP32Q/ref=cm_cr_arp_d_pdp?ie=UTF8,i was not too sure about product as soon as I installed it wow now I found a cell phone holder that actually holds my phone and the charging cord is out of the way
73,Brian Bennett,5,Excellent headset,https://www.amazon.com/gp/profile/amzn1.account.AFW5BALWIU7M7SM3Q7XXKWQIDZBA/ref=cm_cr_arp_d_pdp?ie=UTF8,Excellent Product....especially for the price...running windows 10 (1703) and it picked up and installed without a glitch!
74,Mrs. Fox,5,Good product,https://www.amazon.com/gp/profile/amzn1.account.AGMB2H2YW7UXR4VEJOO7Z2JKL4MA/ref=cm_cr_arp_d_pdp?ie=UTF8,Great addition to my car. I love how it tells me when I¡¯m paired not only on the transmitter but it says it over the stereo as well.
75,M.G.D.,5,Turbot Wireless Charging Stand,https://www.amazon.com/gp/profile/amzn1.account.AGGO6H45KUTF2MC43RJEFMD6G3TQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"This wireless charging stand works great!  It is convenient as it sits on my bed side night stand, and gives my phone a full charge at night.  It also allows me to view my phone screen at a comfortable angle while it sits on the stand.  LED light changes to green when charging and stays blue when not charging.  Wireless charger works great for my iPhone 8 Plus and even works through my phone case.  Very happy with this product!"
76,Derek Grit,5,Simple and works,https://www.amazon.com/gp/profile/amzn1.account.AFZWX77JMA4DYTXR6P6PO4UW4PVQ/ref=cm_cr_arp_d_pdp?ie=UTF8,A great way to add Bluetooth connectivity to an older vehicle and setup was very easy!
77,Derek Grit,5,Simple and works,https://www.amazon.com/gp/profile/amzn1.account.AFZWX77JMA4DYTXR6P6PO4UW4PVQ/ref=cm_cr_arp_d_pdp?ie=UTF8,A great way to add Bluetooth connectivity to an older vehicle and setup was very easy!
78,Amazon Customer,5,So far so good..,https://www.amazon.com/gp/profile/amzn1.account.AECAR2PZC6P6ZWJ2EKJKBIOMASJA/ref=cm_cr_arp_d_pdp?ie=UTF8,So far so good...we'll see as time goes on.  I usually have problems with headsets for some reason.  Hopefully this one will be the right pick!
79,Amazon Customer,5,So far so good..,https://www.amazon.com/gp/profile/amzn1.account.AECAR2PZC6P6ZWJ2EKJKBIOMASJA/ref=cm_cr_arp_d_pdp?ie=UTF8,So far so good...we'll see as time goes on.  I usually have problems with headsets for some reason.  Hopefully this one will be the right pick!
80,Derek Grit,5,Works as intended,https://www.amazon.com/gp/profile/amzn1.account.AFZWX77JMA4DYTXR6P6PO4UW4PVQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"Holds the phone effectively so long as your air vents don't fall down with the weight of the phone, but the product itself is good."
81,Lindsay,5,Perfect,https://www.amazon.com/gp/profile/amzn1.account.AEBOCXQLB6MGN3FOB2EVTWZ6JXCQ/ref=cm_cr_arp_d_pdp?ie=UTF8,LOOOVVVEEEEE!!! Such a great price too.
82,jan mincks,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AG54JPPEL76NLA4DAHR2AQPMGPPA/ref=cm_cr_arp_d_pdp?ie=UTF8,I love it!! easy to use and easy to read and you can hear it.
83,Sandy,5,and was very happy with the product until I used Homitt,https://www.amazon.com/gp/profile/amzn1.account.AE2KQCUTISDPEJKX3OKGWQWPVAMA/ref=cm_cr_arp_d_pdp?ie=UTF8,"I went through several Waterpiks water flosser through the years, and was very happy with the product until I used Homitt. Homitt is more quiet than Waterpik, and it comes with many applicators. It¡¯s a good purchase."
84,Janet G.,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AEWBV7GUDFRSJYKRY6RTKYDUF72Q/ref=cm_cr_arp_d_pdp?ie=UTF8,Perfect viewing location for maps when driving.
85,Diego Santos,4,I like it,https://www.amazon.com/gp/profile/amzn1.account.AGGALN74D2W34SMFO7L23SLJZ64Q/ref=cm_cr_arp_d_pdp?ie=UTF8,Charges quick . I like it
86,GM Moore,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AF43ATNBTFVRFECIXJA6EKPTMQYA/ref=cm_cr_arp_d_pdp?ie=UTF8,It work very well. I just hope it hold up in the weather.
87,Automated,4,Small and compact,https://www.amazon.com/gp/profile/amzn1.account.AEREHNP2O5JWGTLFTHV3LDLHXJ6Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"I¡¯m using this to measure room temperature, works as advertised and I like that it¡¯s small and compact."
88,Anup,5,Nice headset. Prerry cheap one for home office users,https://www.amazon.com/gp/profile/amzn1.account.AHA5OS4HP3HHBRUXGIIOVDHB55HA/ref=cm_cr_arp_d_pdp?ie=UTF8,Nice headset. Prerry cheap one for home office users. Most smaller headsets offer only 4-5 hrs of talk time . This one goes longer.
89,Anup,5,Nice headset. Prerry cheap one for home office users,https://www.amazon.com/gp/profile/amzn1.account.AHA5OS4HP3HHBRUXGIIOVDHB55HA/ref=cm_cr_arp_d_pdp?ie=UTF8,Nice headset. Prerry cheap one for home office users. Most smaller headsets offer only 4-5 hrs of talk time . This one goes longer.
90,jay,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AGES6SXY4MEUJYZNHE32EEJ5F3OA/ref=cm_cr_arp_d_pdp?ie=UTF8,i like it...works great
91,jay,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AGES6SXY4MEUJYZNHE32EEJ5F3OA/ref=cm_cr_arp_d_pdp?ie=UTF8,i like it...works great
92,Amazon Customer,5,Very good,https://www.amazon.com/gp/profile/amzn1.account.AFKETGPS7V56J255MAN2WOFSULVA/ref=cm_cr_arp_d_pdp?ie=UTF8,Good quality and easy to use
93,Amazon Customer,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AHRHQV4CDMQ5A4PH3274COSBS4TA/ref=cm_cr_arp_d_pdp?ie=UTF8,Super bright.  Easy to mount.  I am using them for outdoor stair lights and they look great.
94,Deborah S.,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AE33XO5Y5LE5DZYDKNCMVF6FLOTQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Work as advertised!
95,Amazon Customer,5,They are great because the sound quality is good and they are ...,https://www.amazon.com/gp/profile/amzn1.account.AGSY4IHXWM3QOLIWHDBCSTG34UHQ/ref=cm_cr_arp_d_pdp?ie=UTF8,They are great because the sound quality is good and they are comfortable I even slept with them on and i am suppose to be able to answer the phone through them still working on that.
96,AverageGuy,5,Five Stars,https://www.amazon.com/gp/profile/amzn1.account.AHSKUPZQFMGJTB76RJQJJDTRJUKA/ref=cm_cr_arp_d_pdp?ie=UTF8,Mounted on windshield. Works perfectly with no movement or vibration. Also works WITH popsocket attached to iphone 6.
97,Valerie,2,Two Stars,https://www.amazon.com/gp/profile/amzn1.account.AGX7THSMOAMSQWJOKCECI5LDB6IA/ref=cm_cr_arp_d_pdp?ie=UTF8,Loved the design but it stopped working with one week. Returning.
99,Si Zhang,1,One Star,https://www.amazon.com/gp/profile/amzn1.account.AEICZQVJ6JF3GGUIFZJUN6D7SEUQ/ref=cm_cr_arp_d_pdp?ie=UTF8,It¡¯s so easier to be broken. It was broken when I tried to wear it.
100,GERALD WILLIAMS,5,Great product at a great price.,https://www.amazon.com/gp/profile/amzn1.account.AF2MNKP3PNUZB6NHTVGMPZW2VGHA/ref=cm_cr_arp_d_pdp?ie=UTF8,"This is a great way to add bluetooth capabilities to a vehicle without them. As long as you find a good station to use, the sound quality is pretty good. Definitely glad I bought it."
101,bplank,5,Updated Review - Periodically drops my call,https://www.amazon.com/gp/profile/amzn1.account.AHRGKR76UDBLQESIERNZPBXTDK4A/ref=cm_cr_arp_d_pdp?ie=UTF8,"Update - seller saw my review and sent a new headset! Great customer service!! Headset has not dropped my calls. Appears to be a different model!
Pros - headset is comfortable, long charge and standby time and sound quality is good. Con - this is a real negative for me given I use this for work calls - periodically the headset will just drop the call - I think it may be a Bluetooth connectivity issue. Based on this I can not recommend."
